"Fecha","Dia_Semana","Reloj","Legajo","Evento"
"2026-05-11 04:53:00","Lunes","Porteria Linera",900020,"Entrada"
"2026-05-11 05:43:00","Lunes","Porteria Linera",384,"Entrada"
"2026-05-11 05:55:00","Lunes","Porteria Linera",2451,"Entrada"
"2026-05-11 06:04:00","Lunes","Porteria Linera",4010,"Entrada"
"2026-05-11 07:20:00","Lunes","VictoriaF",600,"Entrada"
"2026-05-11 07:38:00","Lunes","VictoriaF",651,"Entrada"
"2026-05-11 07:58:00","Lunes","VictoriaF",556443,"Entrada"
"2026-05-11 08:05:00","Lunes","VictoriaF",556525,"Entrada"
"2026-05-11 08:08:00","Lunes","Porteria Linera",2958,"Entrada"
"2026-05-11 08:13:00","Lunes","VictoriaF",555114,"Entrada"
"2026-05-11 08:15:00","Lunes","Porteria Linera",2114,"Entrada"
"2026-05-11 08:15:00","Lunes","VictoriaF",2461,"Entrada"
"2026-05-11 08:20:00","Lunes","Porteria Linera",2895,"Entrada"
"2026-05-11 08:22:00","Lunes","VictoriaF",4147,"Entrada"
"2026-05-11 08:26:00","Lunes","VictoriaF",555745,"Entrada"
"2026-05-11 08:28:00","Lunes","VictoriaF",3009,"Entrada"
"2026-05-11 08:30:00","Lunes","VictoriaF",632,"Entrada"
"2026-05-11 08:43:00","Lunes","VictoriaF",4142,"Entrada"
"2026-05-11 08:49:00","Lunes","VictoriaF",4171,"Entrada"
"2026-05-11 08:50:00","Lunes","VictoriaF",220027,"Entrada"
"2026-05-11 09:00:00","Lunes","VictoriaF",2828,"Entrada"
"2026-05-11 09:03:00","Lunes","VictoriaF",4065,"Entrada"
"2026-05-11 09:05:00","Lunes","VictoriaF",4158,"Entrada"
"2026-05-11 09:09:00","Lunes","VictoriaF",3093,"Entrada"
"2026-05-11 09:09:00","Lunes","VictoriaF",4170,"Entrada"
"2026-05-11 09:10:00","Lunes","VictoriaF",532,"Entrada"
"2026-05-11 09:13:00","Lunes","VictoriaF",459,"Entrada"
"2026-05-11 09:13:00","Lunes","VictoriaF",505,"Entrada"
"2026-05-11 09:13:00","Lunes","VictoriaF",2846,"Entrada"
"2026-05-11 09:13:00","Lunes","VictoriaF",2894,"Entrada"
"2026-05-11 09:14:00","Lunes","VictoriaF",4172,"Entrada"
"2026-05-11 09:14:00","Lunes","VictoriaF",220037,"Entrada"
"2026-05-11 09:16:00","Lunes","VictoriaF",904,"Entrada"
"2026-05-11 09:20:00","Lunes","VictoriaF",555044,"Entrada"
"2026-05-11 09:23:00","Lunes","VictoriaF",4150,"Entrada"
"2026-05-11 09:29:00","Lunes","VictoriaF",4061,"Entrada"
"2026-05-11 09:30:00","Lunes","VictoriaF",593,"Entrada"
"2026-05-11 09:30:00","Lunes","VictoriaF",4186,"Entrada"
"2026-05-11 09:31:00","Lunes","Porteria Linera",21,"Entrada"
"2026-05-11 10:07:00","Lunes","VictoriaF",575,"Entrada"
"2026-05-11 10:10:00","Lunes","VictoriaF",4090,"Entrada"
"2026-05-11 10:34:00","Lunes","VictoriaF",4024,"Entrada"
"2026-05-11 10:39:00","Lunes","VictoriaF",1045,"Entrada"
"2026-05-11 11:37:00","Lunes","VictoriaF",555223,"Entrada"
"2026-05-11 12:17:00","Lunes","Porteria Linera",2033,"Entrada"
"2026-05-11 13:03:00","Lunes","Porteria Linera",259,"Entrada"
"2026-05-11 13:10:00","Lunes","Porteria Linera",900020,"Entrada"
"2026-05-11 13:18:00","Lunes","Porteria Linera",4146,"Entrada"
"2026-05-11 13:59:00","Lunes","VictoriaF",600,"Entrada"
"2026-05-11 14:12:00","Lunes","Porteria Linera",384,"Entrada"
"2026-05-11 14:56:00","Lunes","VictoriaF",2940,"Entrada"
"2026-05-11 21:37:00","Lunes","Porteria Linera",2713,"Entrada"
"2026-05-11 22:27:00","Lunes","Porteria Linera",259,"Entrada"
"2026-05-12 04:52:00","Martes","Porteria Linera",900020,"Entrada"
